raw,clean_text,clean,clean-default
"We have been to Patong Beach many times with our children (18,13 & 8) and while it is a very busy place and you will be asked 100s of times if you want to buy something , it can still be a relaxing place. The surf is so small that the kids are safe to swim in it. You can sit…",we have been to patong beach many times with our children & 8) and while it is a very busy place and you will be asked 100s of times if you want to buy something it can still be a relaxing place the surf is so small that the kids are safe to swim in it you can sit,"['we', 'have', 'been', 'to', 'patong', 'beach', 'many', 'times', 'with', 'our', 'children', '&', '8)', 'and', 'while', 'it', 'is', 'a', 'very', 'busy', 'place', 'and', 'you', 'will', 'be', 'asked', '100s', 'of', 'times', 'if', 'you', 'want', 'to', 'buy', 'something', 'it', 'can', 'still', 'be', 'a', 'relaxing', 'place', 'the', 'surf', 'is', 'so', 'small', 'that', 'the', 'kids', 'are', 'safe', 'to', 'swim', 'in', 'it', 'you', 'can', 'sit']","['patong', 'beach', 'time', 'child', '&', '8)', 'busy', 'place', 'ask', '100', 'time', 'want', 'buy', 'relaxing', 'place', 'surf', 'small', 'kid', 'safe', 'swim', 'sit']"
"Beach it itself is clean enough (unlike others I have visited in Thailand), but given an average score as prices are high for sunbed use, drinks and food. It is hard to relax due to the number of people trying to sell you sunglasses, jewellery and anything else you can think of",beach it itself is clean enough unlike others i have visited in thailand but given an average score as prices are high for sunbed use drinks and food it is hard to relax due to the number of people trying to sell you sunglasses jewellery and anything else you can think of,"['beach', 'it', 'itself', 'is', 'clean', 'enough', 'unlike', 'others', 'i', 'have', 'visited', 'in', 'thailand', 'but', 'given', 'an', 'average', 'score', 'as', 'prices', 'are', 'high', 'for', 'sunbed', 'use', 'drinks', 'and', 'food', 'it', 'is', 'hard', 'to', 'relax', 'due', 'to', 'the', 'number', 'of', 'people', 'trying', 'to', 'sell', 'you', 'sunglasses', 'jewellery', 'and', 'anything', 'else', 'you', 'can', 'think', 'of']","['beach', 'clean', 'unlike', 'visit', 'thailand', 'give', 'average', 'score', 'price', 'high', 'sunbe', 'use', 'drink', 'food', 'hard', 'relax', 'number', 'people', 'try', 'sell', 'sunglass', 'jewellery', 'think']"
It's the most popular beach in Phuket filled up with tourists till sunset. I would'nt recommend it to you if you are looking for some me time as it's always crowded but i won't give it a bad review for that as well.,it is the most popular beach in phuket filled up with tourists till sunset i would'nt recommend it to you if you are looking for some me time as it has always crowded but i will not give it a bad review for that as well,"['it', 'is', 'the', 'most', 'popular', 'beach', 'in', 'phuket', 'filled', 'up', 'with', 'tourists', 'till', 'sunset', 'i', ""would'nt"", 'recommend', 'it', 'to', 'you', 'if', 'you', 'are', 'looking', 'for', 'some', 'me', 'time', 'as', 'it', 'has', 'always', 'crowded', 'but', 'i', 'will', 'not', 'give', 'it', 'a', 'bad', 'review', 'for', 'that', 'as', 'well']","['popular', 'beach', 'phuket', 'fill', 'tourist', 'till', 'sunset', ""would'nt"", 'recommend', 'look', 'time', 'crowd', 'not', 'bad', 'review']"
"Bangla road is over-estimated and expensive. It is quiet in the morning and extremely busy and overcrowded at night. The saying: “ if it’s too loud, you are too old” - might be applicable, though my experience is: too loud, too busy and too expensive. Be careful: they sell fake…",bangla road is over estimated and expensive it is quiet in the morning and extremely busy and overcrowded at night the saying if it is too loud you are too old might be applicable though my experience is too loud too busy and too expensive be careful they sell fake,"['bangla', 'road', 'is', 'over', 'estimated', 'and', 'expensive', 'it', 'is', 'quiet', 'in', 'the', 'morning', 'and', 'extremely', 'busy', 'and', 'overcrowded', 'at', 'night', 'the', 'saying', 'if', 'it', 'is', 'too', 'loud', 'you', 'are', 'too', 'old', 'might', 'be', 'applicable', 'though', 'my', 'experience', 'is', 'too', 'loud', 'too', 'busy', 'and', 'too', 'expensive', 'be', 'careful', 'they', 'sell', 'fake']","['bangla', 'road', 'estimate', 'expensive', 'quiet', 'morning', 'extremely', 'busy', 'overcrowd', 'night', 'saying', 'loud', 'old', 'applicable', 'experience', 'loud', 'busy', 'expensive', 'careful', 'sell', 'fake']"
Overcrowded with very rude Europeans unfortunately.. the typical Asian beach experience.FULL of sun loungers and people hounding you to purchase goods..,overcrowded with very rude europeans unfortunately the typical asian beach experience.full of sun loungers and people hounding you to purchase goods,"['overcrowded', 'with', 'very', 'rude', 'europeans', 'unfortunately', 'the', 'typical', 'asian', 'beach', 'experience.full', 'of', 'sun', 'loungers', 'and', 'people', 'hounding', 'you', 'to', 'purchase', 'goods']","['overcrowded', 'rude', 'europeans', 'unfortunately', 'typical', 'asian', 'beach', 'experience.full', 'sun', 'lounger', 'people', 'hound', 'purchase', 'good']"
"If you are staying in Patong, this is an easy clean cute beach to access. Just a basic beach, must get there early if you want shade or a lounge chair. They need to add more chairs, that’s my only complaint. But for a free, local easy access beach. It works! Obviously, it’s…",if you are staying in patong this is an easy clean cute beach to access just a basic beach must get there early if you want shade or a lounge chair they need to add more chairs that is my only complaint but for a free local easy access beach it works obviously it has,"['if', 'you', 'are', 'staying', 'in', 'patong', 'this', 'is', 'an', 'easy', 'clean', 'cute', 'beach', 'to', 'access', 'just', 'a', 'basic', 'beach', 'must', 'get', 'there', 'early', 'if', 'you', 'want', 'shade', 'or', 'a', 'lounge', 'chair', 'they', 'need', 'to', 'add', 'more', 'chairs', 'that', 'is', 'my', 'only', 'complaint', 'but', 'for', 'a', 'free', 'local', 'easy', 'access', 'beach', 'it', 'works', 'obviously', 'it', 'has']","['stay', 'patong', 'easy', 'clean', 'cute', 'beach', 'access', 'basic', 'beach', 'early', 'want', 'shade', 'lounge', 'chair', 'need', 'add', 'chair', 'complaint', 'free', 'local', 'easy', 'access', 'beach', 'work', 'obviously']"
"Patong beach is one of the worst beaches I've been to in Thailand, as it's overcrowded with tourists and dirty. There were no nice food stands to order from, so it can't even touch beaches in Hua Hin, Pattaya and Koh Chang to name a few. Katong beach which is the nearest…",patong beach is of the worst beaches i have been to in thailand as it is overcrowded with tourists and dirty there were no nice food stands to order from so it can not even touch beaches in hua hin pattaya and koh chang to name a few katong beach which is the nearest,"['patong', 'beach', 'is', 'of', 'the', 'worst', 'beaches', 'i', 'have', 'been', 'to', 'in', 'thailand', 'as', 'it', 'is', 'overcrowded', 'with', 'tourists', 'and', 'dirty', 'there', 'were', 'no', 'nice', 'food', 'stands', 'to', 'order', 'from', 'so', 'it', 'can', 'not', 'even', 'touch', 'beaches', 'in', 'hua', 'hin', 'pattaya', 'and', 'koh', 'chang', 'to', 'name', 'a', 'few', 'katong', 'beach', 'which', 'is', 'the', 'nearest']","['patong', 'beach', 'bad', 'beach', 'thailand', 'overcrowded', 'tourist', 'dirty', 'no', 'nice', 'food', 'stand', 'order', 'not', 'touch', 'beach', 'hua', 'hin', 'pattaya', 'koh', 'chang', 'katong', 'beach', 'near']"
"Patong Beach  Patong  738012982  Of all the places in the world to take off my sandals and stroll the beach, this one is it. Simply stated, access to this beach is an eye blink from along the roadside where one finds Para sailing one of the most fascinating activities, along…",patong beach patong of all the places in the world to take off my sandals and stroll the beach this one is it simply stated access to this beach is an eye blink from along the roadside where finds para sailing of the most fascinating activities along,"['patong', 'beach', 'patong', 'of', 'all', 'the', 'places', 'in', 'the', 'world', 'to', 'take', 'off', 'my', 'sandals', 'and', 'stroll', 'the', 'beach', 'this', 'one', 'is', 'it', 'simply', 'stated', 'access', 'to', 'this', 'beach', 'is', 'an', 'eye', 'blink', 'from', 'along', 'the', 'roadside', 'where', 'finds', 'para', 'sailing', 'of', 'the', 'most', 'fascinating', 'activities', 'along']","['patong', 'beach', 'patong', 'place', 'world', 'sandal', 'stroll', 'beach', 'simply', 'state', 'access', 'beach', 'eye', 'blink', 'roadside', 'find', 'para', 'sailing', 'fascinating', 'activity']"
"We spent NYE wandering along Bangla Road. What a wild and crazy atmosphere!  Not a place to bring your children, even on non holiday evenings/nights though.",we spent nye wandering along bangla road what a wild and crazy atmosphere not a place to bring your children even on non holiday evenings nights though,"['we', 'spent', 'nye', 'wandering', 'along', 'bangla', 'road', 'what', 'a', 'wild', 'and', 'crazy', 'atmosphere', 'not', 'a', 'place', 'to', 'bring', 'your', 'children', 'even', 'on', 'non', 'holiday', 'evenings', 'nights', 'though']","['spend', 'nye', 'wander', 'bangla', 'road', 'wild', 'crazy', 'atmosphere', 'not', 'place', 'bring', 'child', 'non', 'holiday', 'evening', 'night']"
"Wondrerful white sandy beach.  Many beach clubs with amenities - pools, food, drinks poolside or seated in pools, showers and toilet facilities.  Water from Andaman Sea is calm and nice to float in!  Skidoos and kite sailing available.  Everything for beach lovers like me!",wondrerful white sandy beach many beach clubs with amenities pools food drinks poolside or seated in pools showers and toilet facilities water from andaman sea is calm and nice to float in skidoos and kite sailing available everything for beach lovers like me,"['wondrerful', 'white', 'sandy', 'beach', 'many', 'beach', 'clubs', 'with', 'amenities', 'pools', 'food', 'drinks', 'poolside', 'or', 'seated', 'in', 'pools', 'showers', 'and', 'toilet', 'facilities', 'water', 'from', 'andaman', 'sea', 'is', 'calm', 'and', 'nice', 'to', 'float', 'in', 'skidoos', 'and', 'kite', 'sailing', 'available', 'everything', 'for', 'beach', 'lovers', 'like', 'me']","['wondrerful', 'white', 'sandy', 'beach', 'beach', 'club', 'amenity', 'pool', 'food', 'drink', 'poolside', 'seat', 'pool', 'shower', 'toilet', 'facility', 'water', 'andaman', 'sea', 'calm', 'nice', 'float', 'skidoos', 'kite', 'sailing', 'available', 'beach', 'lover', 'like']"
We decided to spend Christmas Day 2019 at Patong Beach as we had been planning since early October! The beach was fairly crowded and the water is a bit dirty (in comparison to other Thai beaches) but overall it was a nice experience. We found some space among the people…,we decided to spend christmas day at patong beach as we had been planning since early october the beach was fairly crowded and the water is a bit dirty in comparison to other thai beaches but overall it was a nice experience we found some space among the people,"['we', 'decided', 'to', 'spend', 'christmas', 'day', 'at', 'patong', 'beach', 'as', 'we', 'had', 'been', 'planning', 'since', 'early', 'october', 'the', 'beach', 'was', 'fairly', 'crowded', 'and', 'the', 'water', 'is', 'a', 'bit', 'dirty', 'in', 'comparison', 'to', 'other', 'thai', 'beaches', 'but', 'overall', 'it', 'was', 'a', 'nice', 'experience', 'we', 'found', 'some', 'space', 'among', 'the', 'people']","['decide', 'spend', 'christmas', 'day', 'patong', 'beach', 'plan', 'early', 'october', 'beach', 'fairly', 'crowd', 'water', 'bit', 'dirty', 'comparison', 'thai', 'beach', 'overall', 'nice', 'experience', 'find', 'space', 'people']"
"The Patong Beach is very well maintained. Beach and water are fairly clean, with many water activities to do. Swimmers are separated from all the other activities so you can enjoy your swim in peace. There are a lots of restaurants, bars and cafes along the beach, as well as…",the patong beach is very well maintained beach and water are fairly clean with many water activities to do swimmers are separated from all the other activities so you can enjoy your swim in peace there are a lots of restaurants bars and cafes along the beach as well as,"['the', 'patong', 'beach', 'is', 'very', 'well', 'maintained', 'beach', 'and', 'water', 'are', 'fairly', 'clean', 'with', 'many', 'water', 'activities', 'to', 'do', 'swimmers', 'are', 'separated', 'from', 'all', 'the', 'other', 'activities', 'so', 'you', 'can', 'enjoy', 'your', 'swim', 'in', 'peace', 'there', 'are', 'a', 'lots', 'of', 'restaurants', 'bars', 'and', 'cafes', 'along', 'the', 'beach', 'as', 'well', 'as']","['patong', 'beach', 'maintain', 'beach', 'water', 'fairly', 'clean', 'water', 'activity', 'swimmer', 'separate', 'activity', 'enjoy', 'swim', 'peace', 'lot', 'restaurant', 'bar', 'cafe', 'beach']"
We was staying in Patong for three weeks and went to the beach most days  It is a long beach if you walk from one ent to the other Can be a bit busy John,we was staying in patong for weeks and went to the beach most days it is a long beach if you walk from ent to the other can be a bit busy john,"['we', 'was', 'staying', 'in', 'patong', 'for', 'weeks', 'and', 'went', 'to', 'the', 'beach', 'most', 'days', 'it', 'is', 'a', 'long', 'beach', 'if', 'you', 'walk', 'from', 'ent', 'to', 'the', 'other', 'can', 'be', 'a', 'bit', 'busy', 'john']","['stay', 'patong', 'week', 'go', 'beach', 'day', 'long', 'beach', 'walk', 'ent', 'bit', 'busy', 'john']"
"Beach gets very busy but if you get there early enough to watch the sunrise it's amazing and peaceful. We also walked on the beach every night, it's very safe with lots of other people walking on the beach.",beach gets very busy but if you get there early enough to watch the sunrise it is amazing and peaceful we also walked on the beach every night it is very safe with lots of other people walking on the beach,"['beach', 'gets', 'very', 'busy', 'but', 'if', 'you', 'get', 'there', 'early', 'enough', 'to', 'watch', 'the', 'sunrise', 'it', 'is', 'amazing', 'and', 'peaceful', 'we', 'also', 'walked', 'on', 'the', 'beach', 'every', 'night', 'it', 'is', 'very', 'safe', 'with', 'lots', 'of', 'other', 'people', 'walking', 'on', 'the', 'beach']","['beach', 'get', 'busy', 'early', 'watch', 'sunrise', 'amazing', 'peaceful', 'walk', 'beach', 'night', 'safe', 'lot', 'people', 'walk', 'beach']"
"Very nice beach. Great place for families. Children can have great fun. Very safe and secure. All kinds of rides available. Para sailing, jet ski’s, banana boats and all. Lots of good eating places in vicinity.",very nice beach great place for families children can have great fun very safe and secure all kinds of rides available para sailing jet ski 's banana boats and all lots of good eating places in vicinity,"['very', 'nice', 'beach', 'great', 'place', 'for', 'families', 'children', 'can', 'have', 'great', 'fun', 'very', 'safe', 'and', 'secure', 'all', 'kinds', 'of', 'rides', 'available', 'para', 'sailing', 'jet', 'ski', ""'s"", 'banana', 'boats', 'and', 'all', 'lots', 'of', 'good', 'eating', 'places', 'in', 'vicinity']","['nice', 'beach', 'great', 'place', 'family', 'child', 'great', 'fun', 'safe', 'secure', 'kind', 'ride', 'available', 'para', 'sailing', 'jet', 'ski', 'banana', 'boat', 'lot', 'good', 'eating', 'place', 'vicinity']"
"Comparing to other beaches in Thailand this is not by far the best beach. It has severall water sports available, like jet ski, parasailing, banana towed by speed boat. It has umbrellas with chairs for renting by 200 Baht per dy.",comparing to other beaches in thailand this is not by far the best beach it has severall water sports available like jet ski parasailing banana towed by speed boat it has umbrellas with chairs for renting by baht per dy,"['comparing', 'to', 'other', 'beaches', 'in', 'thailand', 'this', 'is', 'not', 'by', 'far', 'the', 'best', 'beach', 'it', 'has', 'severall', 'water', 'sports', 'available', 'like', 'jet', 'ski', 'parasailing', 'banana', 'towed', 'by', 'speed', 'boat', 'it', 'has', 'umbrellas', 'with', 'chairs', 'for', 'renting', 'by', 'baht', 'per', 'dy']","['compare', 'beach', 'thailand', 'not', 'far', 'good', 'beach', 'severall', 'water', 'sport', 'available', 'like', 'jet', 'ski', 'parasailing', 'banana', 'tow', 'speed', 'boat', 'umbrella', 'chair', 'rent', 'baht', 'dy']"
"We really enjoyed swimming & relaxing on the Patong beach, it was just 5min walk to our hotel. there is so much to do here, swimming, jet skii, parasailing. My daughter really enjoyed it here. while in the beach, dont forget to enjoy their pancakes & make your own icecream with…",we really enjoyed swimming & relaxing on the patong beach it was just walk to our hotel there is so much to do here swimming jet skii parasailing my daughter really enjoyed it here while in the beach do not forget to enjoy their pancakes & make your own icecream with,"['we', 'really', 'enjoyed', 'swimming', '&', 'relaxing', 'on', 'the', 'patong', 'beach', 'it', 'was', 'just', 'walk', 'to', 'our', 'hotel', 'there', 'is', 'so', 'much', 'to', 'do', 'here', 'swimming', 'jet', 'skii', 'parasailing', 'my', 'daughter', 'really', 'enjoyed', 'it', 'here', 'while', 'in', 'the', 'beach', 'do', 'not', 'forget', 'to', 'enjoy', 'their', 'pancakes', '&', 'make', 'your', 'own', 'icecream', 'with']","['enjoy', 'swim', '&', 'relax', 'patong', 'beach', 'walk', 'hotel', 'swimming', 'jet', 'skii', 'parasaile', 'daughter', 'enjoy', 'beach', 'not', 'forget', 'enjoy', 'pancake', '&', 'icecream']"
"it can get a bit crowded, busy and noisy, but it is a very good place to watch the sunset, but it is a very convenient beach with a lot of shops and restaurants, not so perfect for couples who look for romantic holidays but perfect for family.",it can get a bit crowded busy and noisy but it is a very good place to watch the sunset but it is a very convenient beach with a lot of shops and restaurants not so perfect for couples who look for romantic holidays but perfect for family,"['it', 'can', 'get', 'a', 'bit', 'crowded', 'busy', 'and', 'noisy', 'but', 'it', 'is', 'a', 'very', 'good', 'place', 'to', 'watch', 'the', 'sunset', 'but', 'it', 'is', 'a', 'very', 'convenient', 'beach', 'with', 'a', 'lot', 'of', 'shops', 'and', 'restaurants', 'not', 'so', 'perfect', 'for', 'couples', 'who', 'look', 'for', 'romantic', 'holidays', 'but', 'perfect', 'for', 'family']","['bit', 'crowded', 'busy', 'noisy', 'good', 'place', 'watch', 'sunset', 'convenient', 'beach', 'lot', 'shop', 'restaurant', 'not', 'perfect', 'couple', 'look', 'romantic', 'holiday', 'perfect', 'family']"
Thailand has some of the most beautiful beaches in the world and Patong beach is one of them. Offering different kinds of water sports and a sea as warm as a bath. Plenty of beach sellers selling anything from cold drinks to sunglasses. The seller's are very nice and if you…,thailand has some of the most beautiful beaches in the world and patong beach is of them offering different kinds of water sports and a sea as warm as a bath plenty of beach sellers selling anything from cold drinks to sunglasses the seller 's are very nice and if you,"['thailand', 'has', 'some', 'of', 'the', 'most', 'beautiful', 'beaches', 'in', 'the', 'world', 'and', 'patong', 'beach', 'is', 'of', 'them', 'offering', 'different', 'kinds', 'of', 'water', 'sports', 'and', 'a', 'sea', 'as', 'warm', 'as', 'a', 'bath', 'plenty', 'of', 'beach', 'sellers', 'selling', 'anything', 'from', 'cold', 'drinks', 'to', 'sunglasses', 'the', 'seller', ""'s"", 'are', 'very', 'nice', 'and', 'if', 'you']","['thailand', 'beautiful', 'beach', 'world', 'patong', 'beach', 'offer', 'different', 'kind', 'water', 'sport', 'sea', 'warm', 'bath', 'plenty', 'beach', 'seller', 'sell', 'cold', 'drink', 'sunglass', 'seller', 'nice']"
"USA resident and international traveler here: I was not at all impressed with Patong. Save yourself a trip and go to the Mexican Riviera Maya instead. The beach was dirty, the streets stink, and the hustlers on and around the beach are overwhelming. Everyone said this place…",usa resident and international traveler here i was not at all impressed with patong save yourself a trip and go to the mexican riviera maya instead the beach was dirty the streets stink and the hustlers on and around the beach are overwhelming everyone said this place,"['usa', 'resident', 'and', 'international', 'traveler', 'here', 'i', 'was', 'not', 'at', 'all', 'impressed', 'with', 'patong', 'save', 'yourself', 'a', 'trip', 'and', 'go', 'to', 'the', 'mexican', 'riviera', 'maya', 'instead', 'the', 'beach', 'was', 'dirty', 'the', 'streets', 'stink', 'and', 'the', 'hustlers', 'on', 'and', 'around', 'the', 'beach', 'are', 'overwhelming', 'everyone', 'said', 'this', 'place']","['usa', 'resident', 'international', 'traveler', 'not', 'impress', 'patong', 'save', 'trip', 'mexican', 'riviera', 'maya', 'instead', 'beach', 'dirty', 'street', 'stink', 'hustler', 'beach', 'overwhelming', 'say', 'place']"
"Stayed at Blue Ocean Resort. Easy walk to Patong beach passing many restaurants, bars & shops..  Longboat rides, jet skis & parachuting or just lazing on the beach. Plenty of opportunities to book a variety of trips to other islands or places of interest.",stayed at blue ocean resort easy walk to patong beach passing many restaurants bars & shops longboat rides jet skis & parachuting or just lazing on the beach plenty of opportunities to book a variety of trips to other islands or places of interest,"['stayed', 'at', 'blue', 'ocean', 'resort', 'easy', 'walk', 'to', 'patong', 'beach', 'passing', 'many', 'restaurants', 'bars', '&', 'shops', 'longboat', 'rides', 'jet', 'skis', '&', 'parachuting', 'or', 'just', 'lazing', 'on', 'the', 'beach', 'plenty', 'of', 'opportunities', 'to', 'book', 'a', 'variety', 'of', 'trips', 'to', 'other', 'islands', 'or', 'places', 'of', 'interest']","['stay', 'blue', 'ocean', 'resort', 'easy', 'walk', 'patong', 'beach', 'pass', 'restaurant', 'bar', '&', 'shops', 'longboat', 'rides', 'jet', 'skis', '&', 'parachuting', 'laze', 'beach', 'plenty', 'opportunity', 'book', 'variety', 'trip', 'island', 'place', 'interest']"
