comment,num_sentenses,num_words
"An exceptional viewpoint to take in the turquoise waters surrounding Phuket.The 360 degree views are a beautiful background to wedding shoots or even group photos. The majestic landmark is a must visit and then make your way to Rawai Pier and enjoy the views and fresh sea food that can be purchased and cooked in the restaurants opposite.Beautiful fresh sea food, reasonably priced.",4,65
Challenge yourself exploring further so you can sneak out to quiet spot ... we went there on Sunday so its even more crowded.. it was a lovely sunset we had,1,
"I'm visiting this site on the last day of my vacation in phuket. Me and my friends want to have a view of sunset.Instead we're meeting with a lot of tourist, the place is okay, just too crowded",2,41
Great place to watch sun go down. Popular but plenty of space to get your perfect insta worthy photo.,2,19
"This is Thailand's sunset point that your should not miss when you are in Phuket.The atmosphere is so nice. If you wear a sport shoes, walk down to the cliff to spend good moments with nature.",3,37
"Really nice place, not to crowded if you go to the end of it - it’s ‘cause almost everybody will stay in the beginning.Also good spot for taking pictures.Free entrance.Up on a hill are statues with elephants.",4,40
"Promthep Cape is d southern most point of Phuket. We took a 2wheeler on rent from near our hotel in Patong and rode to Promthep Cape.Its a 30 to 40 minute ride. On the way u can visit Karon Beach/Kata Beach/Karon View Point.Best time to visit is during sunset. Its just so beautiful. Place is crowded, but not too much. Find a quiet spot for urselves and enjoy d sunset. There's a small temple too on d top. It's like a 5 to 10 minute hike to reach d view point. Entry is free. Place is well maintained. Absolutely worth d 40 minute ride from city centre. We loved it here. The 40 minute journey is picturesque. Must visit. Its usually not included in itineraries bcoz it's far.",14,139
"This tucked away viewpoint is beautiful at sunset, there is a refreshment and ice cream stall here and restaurants nearby.",1,20
This is the place for sunsets. Gorgeous. Only problem is the crowds who have the same time. Suggest you go down to the Windmill or just Nai Harn Beach for a similar effect.,4,33
"Great viewpoint we saw on a tour with Phuket Travel Co. There is a lovely little market with snacks and goods, very reasonable prices. Drinks are 10-20 bht instead of the crazy prices of Patong",3,36
This was good and you have to walk on a grave road. This was really good experience. you can you to shore of the see.,3,25
